movie_title,movie_imdb_link,day,month,year
Avatar ,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,10,December,2009
Pirates of the Caribbean: At World's End ,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,19,May,2007
Spectre ,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,26,October,2015
The Dark Knight Rises ,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,16,July,2012
Star Wars: Episode VII - The Force Awakens ,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,18,December,2015
John Carter ,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,22,February,2012
Spider-Man 3 ,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,3,April,2007
Tangled ,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,24,November,2010
Avengers: Age of Ultron ,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,13,April,2015
Harry Potter and the Half-Blood Prince ,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,6,July,2009
Batman v Superman: Dawn of Justice ,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,12,March,2016
Superman Returns ,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,21,June,2006
Quantum of Solace ,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,29,October,2008
Pirates of the Caribbean: Dead Man's Chest ,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,24,June,2006
The Lone Ranger ,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,22,June,2013
Man of Steel ,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,10,June,2013
The Chronicles of Narnia: Prince Caspian ,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,9,May,2008
The Avengers ,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,11,April,2012
Pirates of the Caribbean: On Stranger Tides ,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,7,May,2011
Men in Black 3 ,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,14,May,2012
The Hobbit: The Battle of the Five Armies ,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,1,December,2014
The Amazing Spider-Man ,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,13,June,2012
Robin Hood ,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,12,May,2010
The Hobbit: The Desolation of Smaug ,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,2,December,2013
The Golden Compass ,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,27,November,2007
King Kong ,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,5,December,2005
Titanic ,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,1,November,1997
Captain America: Civil War ,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,12,April,2016
Battleship ,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,3,April,2012
Jurassic World ,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,29,May,2015
Skyfall ,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,23,October,2012
Spider-Man 2 ,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,25,June,2004
Iron Man 3 ,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,12,April,2013
Alice in Wonderland ,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,25,February,2010
X-Men: The Last Stand ,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,22,May,2006
Monsters University ,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,5,June,2013
Transformers: Revenge of the Fallen ,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,8,June,2009
Transformers: Age of Extinction ,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,19,June,2014
Oz the Great and Powerful ,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,14,February,2013
The Amazing Spider-Man 2 ,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,10,April,2014
TRON: Legacy ,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,30,November,2010
Cars 2 ,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,18,June,2011
Green Lantern ,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,14,June,2011
Toy Story 3 ,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,12,June,2010
Terminator Salvation ,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,14,May,2009
Furious 7 ,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,16,March,2015
World War Z ,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,2,June,2013
X-Men: Days of Future Past ,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,10,May,2014
Star Trek Into Darkness ,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,2,May,2013
Jack the Giant Slayer ,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,27,February,2013
The Great Gatsby ,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,1,May,2013
Prince of Persia: The Sands of Time ,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,9,May,2010
Pacific Rim ,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1,July,2013
Transformers: Dark of the Moon ,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,23,June,2011
Indiana Jones and the Kingdom of the Crystal Skull ,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,18,May,2008
The Good Dinosaur ,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,10,November,2015
Brave ,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,10,June,2012
Star Trek Beyond ,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,20,July,2016
WALL·E ,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,21,June,2008
Rush Hour 3 ,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,30,July,2007
2012 ,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,11,November,2009
A Christmas Carol ,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,3,November,2009
Jupiter Ascending ,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,27,January,2015
The Legend of Tarzan ,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,27,June,2016
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,7,December,2005
