gross,genres,month
760505847,Action,12
760505847,Adventure,12
760505847,Fantasy,12
760505847,Sci-Fi,12
309404152,Action,5
309404152,Adventure,5
309404152,Fantasy,5
200074175,Action,10
200074175,Adventure,10
200074175,Thriller,10
448130642,Action,7
448130642,Thriller,7
73058679,Action,2
73058679,Adventure,2
73058679,Sci-Fi,2
336530303,Action,4
336530303,Action,4
336530303,Adventure,4
336530303,Adventure,4
336530303,Romance,4
336530303,Romance,4
200807262,Adventure,11
200807262,Animation,11
200807262,Comedy,11
200807262,Family,11
200807262,Fantasy,11
200807262,Musical,11
200807262,Romance,11
458991599,Action,4
458991599,Adventure,4
458991599,Sci-Fi,4
301956980,Adventure,7
301956980,Family,7
301956980,Fantasy,7
301956980,Mystery,7
330249062,Action,3
330249062,Adventure,3
330249062,Sci-Fi,3
200069408,Action,6
200069408,Adventure,6
200069408,Sci-Fi,6
168368427,Action,10
168368427,Adventure,10
423032628,Action,6
423032628,Adventure,6
423032628,Fantasy,6
89289910,Action,6
89289910,Adventure,6
89289910,Western,6
291021565,Action,6
291021565,Adventure,6
291021565,Fantasy,6
291021565,Sci-Fi,6
141614023,Action,5
141614023,Adventure,5
141614023,Family,5
141614023,Fantasy,5
623279547,Action,4
623279547,Action,4
623279547,Adventure,4
623279547,Adventure,4
623279547,Sci-Fi,4
623279547,Sci-Fi,4
241063875,Action,5
241063875,Adventure,5
241063875,Fantasy,5
179020854,Action,5
179020854,Adventure,5
179020854,Comedy,5
179020854,Family,5
179020854,Fantasy,5
179020854,Sci-Fi,5
255108370,Adventure,12
255108370,Fantasy,12
262030663,Action,6
262030663,Adventure,6
262030663,Fantasy,6
105219735,Action,5
105219735,Adventure,5
105219735,Drama,5
105219735,History,5
258355354,Adventure,12
258355354,Fantasy,12
70083519,Adventure,11
70083519,Family,11
70083519,Fantasy,11
218051260,Action,12
218051260,Action,12
218051260,Action,12
218051260,Adventure,12
218051260,Adventure,12
218051260,Adventure,12
218051260,Drama,12
218051260,Drama,12
218051260,Drama,12
218051260,Romance,12
218051260,Romance,12
218051260,Romance,12
658672302,Drama,11
658672302,Romance,11
407197282,Action,4
407197282,Adventure,4
407197282,Sci-Fi,4
